ts,surface_temp_c,turbidity_raw,tds_raw,turbidity_v,tds_v
2026-03-04T05:57:27.322618+00:00,21.88,227,0,0.1829,0.0
2026-03-04T05:57:27.581961+00:00,21.88,226,0,0.1821,0.0
2026-03-04T05:57:28.497015+00:00,21.88,231,0,0.1862,0.0
2026-03-04T05:57:29.638645+00:00,21.88,228,0,0.1837,0.0
2026-03-04T05:57:30.486328+00:00,21.88,227,0,0.1829,0.0
2026-03-04T05:57:31.245487+00:00,21.88,229,0,0.1845,0.0
2026-03-04T05:57:32.171947+00:00,21.88,228,0,0.1837,0.0
2026-03-04T05:57:33.302150+00:00,21.88,230,0,0.1853,0.0
2026-03-04T05:57:34.141242+00:00,21.88,227,0,0.1829,0.0
2026-03-04T05:57:34.989281+00:00,21.88,231,0,0.1862,0.0
2026-03-04T05:57:35.841088+00:00,21.88,227,0,0.1829,0.0
2026-03-04T05:57:36.958310+00:00,21.88,2158,0,1.739,0.0
2026-03-04T05:57:37.803861+00:00,21.94,2649,0,2.1347,0.0
2026-03-04T05:57:38.579889+00:00,21.88,2649,0,2.1347,0.0
2026-03-04T05:57:39.497793+00:00,21.88,2644,0,2.1307,0.0
2026-03-04T05:57:43.553568+00:00,21.88,2651,0,2.1363,0.0
2026-03-04T05:57:44.260322+00:00,21.88,2647,0,2.1331,0.0
2026-03-04T05:57:45.177156+00:00,21.88,2648,0,2.1339,0.0
2026-03-04T05:57:46.095447+00:00,21.88,2647,0,2.1331,0.0
2026-03-04T05:57:47.213558+00:00,21.88,2651,0,2.1363,0.0
2026-03-04T05:57:48.057310+00:00,21.88,2650,0,2.1355,0.0
2026-03-04T05:57:48.802501+00:00,21.88,2655,0,2.1396,0.0
2026-03-04T05:57:50.029006+00:00,21.88,2655,0,2.1396,0.0
2026-03-04T05:57:50.917551+00:00,21.88,2655,0,2.1396,0.0
2026-03-04T05:57:51.716561+00:00,21.88,2657,0,2.1412,0.0
2026-03-04T05:57:52.562388+00:00,21.88,2659,0,2.1428,0.0
2026-03-04T05:57:53.423832+00:00,21.88,2681,0,2.1605,0.0
2026-03-04T05:57:54.535808+00:00,21.88,2693,0,2.1702,0.0
2026-03-04T05:57:55.381144+00:00,21.88,2679,0,2.1589,0.0
2026-03-04T05:57:56.174479+00:00,21.88,2684,744,2.1629,0.5996
2026-03-04T05:57:57.083821+00:00,21.88,2684,791,2.1629,0.6374
2026-03-04T05:57:58.196738+00:00,21.88,2685,826,2.1637,0.6656
2026-03-04T05:57:59.040122+00:00,21.88,2683,856,2.1621,0.6898
2026-03-04T05:57:59.894063+00:00,21.88,2678,871,2.1581,0.7019
2026-03-04T05:58:01.017000+00:00,21.88,2681,883,2.1605,0.7116
2026-03-04T05:58:01.858208+00:00,21.88,2681,901,2.1605,0.7261
2026-03-04T05:58:02.697811+00:00,21.94,2685,919,2.1637,0.7406
2026-03-04T05:58:03.543779+00:00,21.88,2680,920,2.1597,0.7414
2026-03-04T05:58:04.432183+00:00,21.88,2686,932,2.1645,0.7511
2026-03-04T05:58:05.516382+00:00,21.88,2686,947,2.1645,0.7632
2026-03-04T05:58:06.363385+00:00,21.88,2693,943,2.1702,0.7599
2026-03-04T05:58:07.176490+00:00,21.94,2697,952,2.1734,0.7672
2026-03-04T05:58:08.331725+00:00,21.88,2686,960,2.1645,0.7736
2026-03-04T05:58:09.177051+00:00,21.88,2693,971,2.1702,0.7825
2026-03-04T05:58:10.021968+00:00,21.88,2686,971,2.1645,0.7825
2026-03-04T05:58:10.867931+00:00,21.88,2687,975,2.1653,0.7857
2026-03-04T05:58:11.996452+00:00,21.94,2678,979,2.1581,0.7889
2026-03-04T05:58:12.856884+00:00,21.94,2683,984,2.1621,0.793
2026-03-04T05:58:13.686400+00:00,21.88,2681,987,2.1605,0.7954
2026-03-04T05:58:14.525427+00:00,21.88,2680,989,2.1597,0.797
2026-03-04T05:58:18.584855+00:00,21.88,2671,998,2.1525,0.8042
2026-03-04T05:58:19.435756+00:00,21.88,2681,995,2.1605,0.8018
2026-03-04T05:58:20.300191+00:00,21.94,2695,1003,2.1718,0.8083
2026-03-04T05:58:21.119155+00:00,21.88,2685,1005,2.1637,0.8099
2026-03-04T05:58:22.247378+00:00,21.94,2685,1006,2.1637,0.8107
2026-03-04T05:58:23.089934+00:00,21.94,2687,1013,2.1653,0.8163
2026-03-04T05:58:23.934935+00:00,21.94,2696,1015,2.1726,0.8179
2026-03-04T05:58:25.061833+00:00,21.94,2696,1015,2.1726,0.8179
2026-03-04T05:58:25.918385+00:00,21.88,2685,1018,2.1637,0.8204
2026-03-04T05:58:26.754416+00:00,21.88,2702,1019,2.1774,0.8212
2026-03-04T05:58:27.599369+00:00,21.94,2695,1021,2.1718,0.8228
2026-03-04T05:58:28.441297+00:00,21.88,2688,1020,2.1662,0.822
2026-03-04T05:58:29.570034+00:00,21.88,2687,1021,2.1653,0.8228
2026-03-04T05:58:30.414774+00:00,21.88,2685,1033,2.1637,0.8325
2026-03-04T05:58:31.257059+00:00,21.88,2685,1039,2.1637,0.8373
2026-03-04T05:58:32.117400+00:00,21.88,2693,1039,2.1702,0.8373
2026-03-04T05:58:33.229996+00:00,21.88,2687,1021,2.1653,0.8228
2026-03-04T05:58:34.075892+00:00,21.88,2687,1041,2.1653,0.8389
2026-03-04T05:58:34.923268+00:00,21.88,2687,1041,2.1653,0.8389
2026-03-04T05:58:36.053136+00:00,21.88,2686,1045,2.1645,0.8421
